=============load data=============
train data shape: torch.Size([34683, 256])
Training finished



=============model evaluation=============
Shape of final representation: torch.Size([1197, 128])
Columns from exp_df: Index(['cik', 'tic', 'Year'], dtype='object')
Normalized Within-Cluster Sum of Squares (WCSS): 0.0073335148836038665
Normalized Within-Cluster Sum of Squares (WCSS): 0.0013079184139382371

Stock price correlation for 10 clusters: 0.3563178790636631

Stock price correlation for 100 clusters: 0.4187052430786313

Chart saved to ./charts/chart_20250306_162413_test_one
  Classification_Scheme  Precision  ...  N_Industries  Avg_Firms_per_Industry
0            cluster_10   0.855390  ...            10                  119.70
1           cluster_100   0.605171  ...           100                   11.97

[2 rows x 5 columns]

Script finished
