=============load data=============
train data shape: torch.Size([34683, 256])
Training finished



=============model evaluation=============
Shape of final representation: torch.Size([1197, 256])
Columns from exp_df: Index(['cik', 'tic', 'Year'], dtype='object')
Normalized Within-Cluster Sum of Squares (WCSS): 0.0038345113035630663
Normalized Within-Cluster Sum of Squares (WCSS): 0.0006898264140015158

Stock price correlation for 10 clusters: 0.3593603091064285

Stock price correlation for 100 clusters: 0.4280466183207702

Chart saved to ./charts/chart_20250307_161020_test_one
  Classification_Scheme  Precision  ...  N_Industries  Avg_Firms_per_Industry
0            cluster_10   0.867222  ...            10                  119.70
1           cluster_100   0.590710  ...           100                   11.97

[2 rows x 5 columns]

Script finished
